Unnamed: 0,NOS Title
semem408.pdf,create engineering designs
semem413.pdf,obtaining resources for the implementation of engineering activities
semem414.pdf,implement engineering processes
semem415.pdf,monitor and evaluate engineering processes
semem416.pdf,evaluate engineering risk assessments
semem417.pdf,specify risk reduction methods and procedures
semem418.pdf,implement quality assurance methods and procedures
semem419.pdf,improve the quality of engineering products or processes
semem421.pdf,identify and define areas of engineering research
semem427.pdf,"transfer control of engineering products, processes or facilities"
semem428.pdf,"propose decommissioning of engineering equipment, processes or facilities"
semem431.pdf,"commission engineering products, processes or facilities"
semem434.pdf,leading maintenance activities
semem436.pdf,leading installation or commissioning activities
semem437.pdf,leading welding and fabrication activities
semem438.pdf,leading rail welding activities
semem444.pdf,carrying out maintenance activities on instrumentation and control equipment
semem446.pdf,carrying out maintenance activities on electrical equipment within an engineered system
semem447.pdf,carrying out maintenance activities on fluid power equipment within an engineered system
semem448.pdf,carrying out maintenance activities on process controller equipment within an engineered system
semfwe360.pdf,determining welding and related technical requirements to achieve objectives
semfwe361.pdf,planning welding production resources and activities
semfwe362.pdf,implementing welding production methods and procedures
semfwe363.pdf,solving welding problems in production
semfwe364.pdf,monitoring welding activities in production
semfwe365.pdf,inspecting welded components or structures for visual quality and dimensional accuracy
group 1237,determine the requirements for engineering activities;assist in determining the requirements for engineering activities
group 1238,assist in scheduling engineering activities ;schedule engineering activities 
group 1502,solve engineering or manufacturing problems
group 1503,assist in identifying engineering design requirements of clients;identifying engineering design requirements of clients
group 1504,assist in producing engineering specifications;producing engineering specifications
group 1506,assist in establishing an engineering design brief;establish an engineering design brief
group 1507,specify methods and procedures to achieve engineering requirements;assist in specifying methods and procedures to achieve engineering requirements
group 1508,support the provision of technical advice and guidance on engineering or manufacturing requirements;providing technical advice and guidance on engineering or manufacturing requirements
group 1509,develop a research methodology for engineering;assist in developing a research methodology for engineering
group 1512,"assist in configuring engineering products, processes or facilities;configure engineering products, processes or facilities"
group 1513,"assist in the planning and decommissioning of engineering equipment, processes or facilities;plan and decommission engineering equipment, processes or facilities"
group 1514,investigate incidents relating to engineering activities;assist in investigating incidents relating to engineering activities
group 1515,leading mechanical manufacturing or inspection activities;leading electrical/electronic product manufacturing or testing activities 
group 1516,carrying out maintenance activities on mechanical equipment within an engineered system ;carrying out maintenance activities on mechanical equipment
